Zip_c,Total Population,Diversity Index1,Median Household Income,Per Capita Income,Total Housing Units,Median Home Value,Average Household Size
77002,22953,74,81974,41730,8072,331653,1.45
77003,13794,85,55802,31571,6162,312172,2.36
77004,37705,69,47584,32814,18991,316998,1.99
77005,30451,49,163237,86773,12195,963404,2.39
77006,24403,63,73223,68971,16535,460751,1.61
77007,46142,73,104306,73985,24777,418158,1.94
77008,39150,72,79106,55413,20048,415566,2.07
77009,41502,77,50259,29031,16496,305656,2.7
77010,522,85,126522,124622,514,450000,1.44
77011,20801,64,31755,12750,7359,107602,3.26
77012,21505,66,38674,14005,7115,92073,3.43
77013,18678,83,40217,14778,6399,91199,3.28
77014,33388,85,44232,18836,12578,151556,3.1
77015,58586,83,48795,18363,19533,113763,3.33
77016,28639,71,35112,15435,10974,73332,2.91
77017,34092,72,42486,16257,11098,103174,3.41
77018,29054,73,73905,44915,12858,379742,2.38
77019,25311,63,93033,76476,14275,601324,1.87
77020,26840,83,30260,14397,9768,96747,3.21
77021,29258,60,36569,21635,13045,142462,2.54
77022,32191,84,30732,13910,11255,110275,3.15
77023,30583,70,41165,17183,10915,159052,3.17
77024,41399,52,118630,80804,18485,956471,2.4
77025,32070,75,74940,57411,16225,447206,2.14
77026,24226,82,25024,12337,10170,77925,2.87
77027,21260,56,89941,86195,14672,659821,1.66
77028,17899,64,31907,14544,6734,65500,2.98
77029,18238,84,33163,13609,6420,78245,3.17
77030,11125,65,85296,67035,6067,573028,2.07
77031,17043,87,42129,19645,6602,149380,2.93
77032,13626,85,27527,11455,4531,91309,3.21
77033,27400,64,32603,14547,9835,69363,3.1
77034,34536,79,49940,19274,11924,126493,3.25
77035,35917,85,45027,26034,14958,248719,2.77
77036,78227,90,29317,14806,31940,152783,2.94
77037,22488,73,39563,12765,6063,111499,3.98
77038,30272,87,43001,14369,8674,125679,3.73
77039,28620,78,38484,12413,8254,98982,3.89
77040,49866,85,57216,28399,18953,184309,2.84
77041,38827,85,76287,33277,12260,219690,3.26
77042,40684,84,47933,36454,22118,336299,2.11
77043,28404,79,58746,29368,10882,260082,2.86
77044,50413,83,82768,31399,15790,241746,3.32
77045,33852,86,48989,17424,10204,92198,3.46
77046,474,65,80131,72869,360,381579,1.46
77047,27817,70,55465,23970,10316,160057,2.79
77048,17208,59,45707,19248,7119,92798,2.96
77049,38039,85,57702,20546,12184,163997,3.37
77050,5152,88,52586,18884,1555,89500,3.47
77051,17670,37,25557,14546,7429,93700,2.64
77053,32530,85,46623,15896,9707,92787,3.5
77054,27236,78,45544,33532,16637,184381,1.76
77055,47809,78,56818,34654,17861,446565,2.89
77056,26174,60,99871,82516,16401,668094,1.79
77057,43005,78,60716,49460,23380,447313,2.08
77058,15930,66,57712,43187,9187,206610,1.92
77059,19319,58,126914,53504,6562,307890,3.07
77060,42401,86,28854,12195,15628,110640,3.18
77061,25946,87,37847,18212,9853,142867,2.99
77062,26981,67,85250,42532,10798,191836,2.66
77063,40169,82,50722,37736,21434,297351,2.04
77064,48709,85,67329,28159,16592,176245,3.05
77065,38418,81,59639,31423,15849,191476,2.57
77066,35489,89,61089,23243,11172,146202,3.31
77067,31527,88,41533,16598,11013,118011,3.33
77068,12696,82,74709,39704,5364,234087,2.68
77069,18103,64,70158,51495,9179,289672,2.13
77070,52604,75,72080,37227,22755,200843,2.5
77071,28612,79,51464,24909,11242,166071,2.75
77072,56825,90,39349,15195,18852,116277,3.36
77073,45315,87,54632,19571,14568,134878,3.43
77074,41824,86,35729,17321,16070,137806,2.91
77075,44258,85,51783,18464,13760,146227,3.4
77076,35983,74,35251,12317,10465,103107,3.67
77077,60854,78,70857,48636,30411,314407,2.15
77078,15206,79,32874,12684,4922,84276,3.35
77079,38121,66,100385,60740,16170,458616,2.52
77080,50791,81,42689,19033,17765,220347,3.11
77081,50171,83,30075,15851,19831,297368,2.92
77082,58476,85,53900,30190,25705,183729,2.48
77083,76909,88,54368,20084,23177,152248,3.5
77084,110665,84,66576,28211,37884,171924,3.07
77085,18277,88,54039,17998,5439,123586,3.6
77086,30027,88,42679,14758,8672,108831,3.69
77087,37639,80,38358,14232,11717,95082,3.47
77088,54641,84,42650,16854,18925,121402,3.21
77089,51634,85,64191,25431,17641,159929,3.06
77090,36889,81,41545,22189,17332,170848,2.51
77091,25802,76,34653,17730,11826,151236,2.76
77092,36248,82,40819,21975,15544,207266,2.69
77093,50058,80,35021,11958,14342,90849,3.79
77094,11782,58,165825,76082,4040,427883,2.95
77095,69161,75,94014,39672,24163,222135,2.92
77096,34993,76,63366,45107,16370,347039,2.36
77098,16024,59,89162,80716,10838,487254,1.65
77099,49829,90,39824,16903,17989,119696,3.13
