,Total Population,Population in Households,Population in Familes,Population in Group Qrtrs,Population Density,Diversity Index1,Median Household Income,Average Household Income,Per Capita Income,Wealth Index3,Total Housing Units,Owner Occupied HU,Renter Occupied HU,Vacant Housing Units,Median Home Value,Housing Affordability Index2,Total Households,Average Household Size,Family Households,Average Family Size
77002,22953,9717,3207,13236,11072,74,81974,122502,41730,86,8072,935,5782,1355,331653,129,6717,1.45,1266,3
77003,13794,12605,8571,1189,4899,85,55802,80953,31571,65,6162,2310,3038,814,312172,89,5348,2.36,2511,3
77004,37705,29691,17863,8014,6893,69,47584,79758,32814,65,18991,4692,10191,4108,316998,67,14883,1.99,6053,3
77005,30451,27808,22522,2643,7779,49,163237,226484,86773,305,12195,7385,4251,559,963404,82,11636,2.39,7314,3
77006,24403,23757,9644,646,10735,63,73223,114010,68971,97,16535,4779,9964,1792,460751,75,14743,1.61,3821,3
77007,46142,45581,26430,561,6112,73,104306,145154,73985,134,24777,11019,12490,1268,418158,114,23509,1.94,9547,3
77008,39150,38936,25541,214,6004,72,79106,115223,55413,119,20048,10805,8016,1227,415566,88,18821,2.07,8877,3
77009,41502,40958,31957,544,6718,77,50259,79497,29031,73,16496,7341,7802,1353,305656,75,15143,2.7,9112,4
77010,522,522,164,0,4811,85,126522,179704,124622,119,514,34,328,152,450000,0,362,1.44,66,2
77011,20801,20535,17619,266,6438,64,31755,42042,12750,29,7359,2280,4020,1059,107602,134,6300,3.26,4536,4
77012,21505,21376,18474,129,5523,66,38674,48181,14005,34,7115,2261,3980,874,92073,193,6241,3.43,4660,4
77013,18678,18016,15372,662,2078,83,40217,50073,14778,38,6399,2198,3290,911,91199,192,5488,3.28,4113,4
77014,33388,33376,28300,12,4888,85,44232,58472,18836,47,12578,5011,5744,1823,151556,122,10755,3.1,7658,4
77015,58586,58564,51258,22,2748,83,48795,61152,18363,52,19533,8886,8706,1941,113763,185,17592,3.33,13351,4
77016,28639,28574,24299,65,2775,71,35112,45051,15435,40,10974,6103,3706,1165,73332,218,9809,2.91,6931,4
77017,34092,33947,29717,145,3978,72,42486,55638,16257,43,11098,4882,5076,1140,103174,186,9958,3.41,7433,4
77018,29054,28576,21858,478,4362,73,73905,108782,44915,142,12858,8591,3399,868,379742,93,11990,2.38,7184,3
77019,25311,25037,14364,274,6904,63,93033,144642,76476,157,14275,5889,7478,908,601324,74,13367,1.87,5278,3
77020,26840,26710,22904,130,3777,83,30260,46473,14397,36,9768,3791,4518,1459,96747,143,8309,3.21,5967,4
77021,29258,28620,22252,638,4667,60,36569,55990,21635,50,13045,4749,6516,1780,142462,121,11265,2.54,6758,3
77022,32191,31954,26598,237,5485,84,30732,44059,13910,31,11255,3965,6188,1102,110275,131,10153,3.15,6833,4
77023,30583,30470,25595,113,5507,70,41165,54644,17183,40,10915,4078,5536,1301,159052,115,9614,3.17,6721,4
77024,41399,41135,34263,264,3166,52,118630,195546,80804,283,18485,10908,6196,1381,956471,62,17104,2.4,11213,3
77025,32070,31809,22640,261,6830,75,74940,123983,57411,134,16225,5893,8951,1381,447206,78,14844,2.14,7655,3
77026,24226,24122,19676,104,3717,82,25024,35553,12337,25,10170,3077,5324,1769,77925,143,8401,2.87,5451,4
77027,21260,21260,11139,0,7860,56,89941,142963,86195,152,14672,3871,8947,1854,659821,68,12818,1.66,4406,3
77028,17899,17879,15322,20,1858,64,31907,43323,14544,37,6734,3566,2442,726,65500,230,6008,2.98,4295,4
77029,18238,18087,15806,151,1591,84,33163,43446,13609,34,6420,3262,2446,712,78245,196,5708,3.17,4149,4
77030,11125,10784,6948,341,4038,65,85296,143119,67035,145,6067,1930,3272,865,573028,71,5202,2.07,2354,3
77031,17043,16994,13596,49,5186,87,42129,57792,19645,53,6602,2558,3234,810,149380,131,5792,2.93,3827,4
77032,13626,13166,11228,460,681,85,27527,37895,11455,26,4531,1230,2870,431,91309,150,4100,3.21,2878,4
77033,27400,27103,23406,297,4643,64,32603,45130,14547,39,9835,5218,3520,1097,69363,217,8738,3.1,6432,4
77034,34536,34513,29741,23,2622,79,49940,62616,19274,50,11924,5654,4976,1294,126493,186,10630,3.25,7770,4
77035,35917,35710,28869,207,6037,85,45027,72402,26034,81,14958,5677,7233,2048,248719,87,12910,2.77,8444,3
77036,78227,77791,61438,436,10874,90,29317,43679,14806,34,31940,4798,21704,5438,152783,85,26502,2.94,17237,4
77037,22488,22473,20074,15,3694,73,39563,50886,12765,41,6063,3411,2230,422,111499,171,5641,3.98,4671,4
77038,30272,30255,27321,17,3114,87,43001,53671,14369,39,8674,4324,3780,570,125679,160,8104,3.73,6743,4
77039,28620,28503,25595,117,2969,78,38484,48423,12413,37,8254,4109,3224,921,98982,171,7333,3.89,6055,4
77040,49866,49647,41606,219,3572,85,57216,80942,28399,94,18953,9955,7537,1461,184309,142,17492,2.84,12145,3
77041,38827,38736,34819,91,2179,85,76287,108685,33277,126,12260,8451,3436,373,219690,139,11887,3.26,9512,4
77042,40684,40676,27607,8,6785,84,47933,77092,36454,78,22118,4363,14875,2880,336299,62,19238,2.11,9321,3
77043,28404,28185,23389,219,4212,79,58746,84675,29368,94,10882,5237,4611,1034,260082,102,9848,2.86,6857,3
77044,50413,50413,45970,0,1281,83,82768,104235,31399,111,15790,12173,3013,604,241746,138,15186,3.32,12625,4
