Zip_c,Total Population,Diversity Index1,Median Household Income,Per Capita Income,Total Housing Units,Average Household Size,Housing Affordability Index2,Median Home Value
77045,33852,86,48989,17424,10204,3.46,247,92198
77065,38418,81,59639,31423,15849,2.57,147,191476
77005,30451,49,163237,86773,12195,2.39,82,963404
77089,51634,85,64191,25431,17641,3.06,168,159929
77047,27817,70,55465,23970,10316,2.79,163,160057
77050,5152,88,52586,18884,1555,3.47,311,89500
77008,39150,72,79106,55413,20048,2.07,88,415566
77099,49829,90,39824,16903,17989,3.13,150,119696
77083,76909,88,54368,20084,23177,3.5,147,152248
77078,15206,79,32874,12684,4922,3.35,187,84276
77063,40169,82,50722,37736,21434,2.04,79,297351
77082,58476,85,53900,30190,25705,2.48,132,183729
77088,54641,84,42650,16854,18925,3.21,152,121402
77094,11782,58,165825,76082,4040,2.95,191,427883
77054,27236,78,45544,33532,16637,1.76,109,184381
77029,18238,84,33163,13609,6420,3.17,196,78245
77020,26840,83,30260,14397,9768,3.21,143,96747
77059,19319,58,126914,53504,6562,3.07,175,307890
77066,35489,89,61089,23243,11172,3.31,166,146202
77076,35983,74,35251,12317,10465,3.67,155,103107
77003,13794,85,55802,31571,6162,2.36,89,312172
77064,48709,85,67329,28159,16592,3.05,168,176245
77044,50413,83,82768,31399,15790,3.32,138,241746
77043,28404,79,58746,29368,10882,2.86,102,260082
77006,24403,63,73223,68971,16535,1.61,75,460751
77017,34092,72,42486,16257,11098,3.41,186,103174
77019,25311,63,93033,76476,14275,1.87,74,601324
77042,40684,84,47933,36454,22118,2.11,62,336299
77040,49866,85,57216,28399,18953,2.84,142,184309
77007,46142,73,104306,73985,24777,1.94,114,418158
77090,36889,81,41545,22189,17332,2.51,119,170848
77062,26981,67,85250,42532,10798,2.66,188,191836
77002,22953,74,81974,41730,8072,1.45,129,331653
77036,78227,90,29317,14806,31940,2.94,85,152783
77030,11125,65,85296,67035,6067,2.07,71,573028
77053,32530,85,46623,15896,9707,3.5,230,92787
77013,18678,83,40217,14778,6399,3.28,192,91199
77037,22488,73,39563,12765,6063,3.98,171,111499
77025,32070,75,74940,57411,16225,2.14,78,447206
77055,47809,78,56818,34654,17861,2.89,59,446565
77012,21505,66,38674,14005,7115,3.43,193,92073
77033,27400,64,32603,14547,9835,3.1,217,69363
77092,36248,82,40819,21975,15544,2.69,93,207266
77060,42401,86,28854,12195,15628,3.18,119,110640
77079,38121,66,100385,60740,16170,2.52,96,458616
77034,34536,79,49940,19274,11924,3.25,186,126493
77085,18277,88,54039,17998,5439,3.6,206,123586
77016,28639,71,35112,15435,10974,2.91,218,73332
77077,60854,78,70857,48636,30411,2.15,104,314407
77021,29258,60,36569,21635,13045,2.54,121,142462
77031,17043,87,42129,19645,6602,2.93,131,149380
77051,17670,37,25557,14546,7429,2.64,134,93700
77096,34993,76,63366,45107,16370,2.36,83,347039
77098,16024,59,89162,80716,10838,1.65,86,487254
77072,56825,90,39349,15195,18852,3.36,151,116277
77022,32191,84,30732,13910,11255,3.15,131,110275
77093,50058,80,35021,11958,14342,3.79,170,90849
77075,44258,85,51783,18464,13760,3.4,155,146227
77080,50791,81,42689,19033,17765,3.11,88,220347
77027,21260,56,89941,86195,14672,1.66,68,659821
77039,28620,78,38484,12413,8254,3.89,171,98982
77048,17208,59,45707,19248,7119,2.96,227,92798
77041,38827,85,76287,33277,12260,3.26,139,219690
77068,12696,82,74709,39704,5364,2.68,142,234087
77061,25946,87,37847,18212,9853,2.99,119,142867
77014,33388,85,44232,18836,12578,3.1,122,151556
77073,45315,87,54632,19571,14568,3.43,178,134878
77038,30272,87,43001,14369,8674,3.73,160,125679
77023,30583,70,41165,17183,10915,3.17,115,159052
77086,30027,88,42679,14758,8672,3.69,174,108831
77011,20801,64,31755,12750,7359,3.26,134,107602
77095,69161,75,94014,39672,24163,2.92,178,222135
77070,52604,75,72080,37227,22755,2.5,165,200843
77067,31527,88,41533,16598,11013,3.33,155,118011
77049,38039,85,57702,20546,12184,3.37,161,163997
77046,474,65,80131,72869,360,1.46,118,381579
